Site_id,Serie,SerieGroup,lon,lat,Sampling 20XX,SamplingDate,year,gini,AWDR_y,SDI_y,PPT_y,GDD(5)
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2015,0.6920473665728428,921.9020532431008,0.9486638607549993,693.39,1697.395
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2016,0.7320614475666287,1095.2791397703065,0.9701664715935964,725.05,1640.045
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2017,0.7133578510934326,912.2586728678334,0.9870472424264884,630.67,1582.205
17ALM08,ALMA,G13,-71.66,48.64,17,2018-06-20,2018,0.7698688122392315,992.0833698935057,0.967121952304526,684.89,1611.715
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2013,0.7121377125228395,977.2942151166627,0.9673307088158594,728.7,1583.665
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2014,0.7238004426949459,911.1739313992713,0.9704902984399192,686.97,1643.32
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2015,0.7155309620716046,897.9581081759566,0.9595517339801419,631.88,1681.96
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2016,0.7314606262243245,1126.651088363641,0.967971517499885,751.57,1619.035
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2017,0.7229425042823706,921.2570129355638,0.9862087191808121,605.79,1573.76
17ALM13,ALMA,G13,-71.04,48.33,17,2018-07-04,2018,0.7569124305910414,978.7537444385894,0.9819352145336785,651.57,1590.895
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2013,0.7241736045727492,909.7604553604716,0.9763892583502958,661.61,1594.55
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2014,0.7428827203028577,899.6318902953691,0.9720495843277894,651.29,1600.275
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2015,0.720524390150859,851.422576093079,0.9561603846248893,634.83,1664.055
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2016,0.729676077596974,1074.6758677378623,0.9760463809435197,709.16,1603.115
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2017,0.7075393832997855,957.1693813812955,0.975857043769481,707.83,1523.09
17ALM14,ALMA,G13,-72.53,48.88,17,2018-06-12,2018,0.8202501815560437,919.343769254766,0.9424816948636691,669.41,1569.175
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2013,0.7744515504626708,1032.7984381480906,0.9758202913369274,720.63,2184.895
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2014,0.7912993959101244,998.8585828350955,0.9610693365230107,742.26,2180.43
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2015,0.781812966718437,1030.4088252910715,0.9719187546370158,733.23,2249.58
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2016,0.8402211101231819,1077.3574852740471,0.9627343353118217,704.08,2215.68
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2017,0.7898834942538978,1087.1834471339314,0.9805133949024896,744.17,2227.06
17AST06,ASTON,G06,-73.16,45.62,17,2018-05-31,2018,0.7910568163884534,1100.7972425826817,0.9840144121488555,628.31,2262.945
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2013,0.7800053933411266,1030.8996422768553,0.9735295461237807,716.38,2200.705
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2014,0.7951111491085634,1003.7215005231133,0.9643750005026069,737.17,2192.57
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2015,0.7812294631195567,1033.5649556099581,0.9741698215877529,726.23,2254.255
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2016,0.8356303202787914,1069.2660170240977,0.9644061376747248,700.49,2215.86
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2017,0.791736870945894,1065.1164635500072,0.980987016974292,732.6,2224.755
17AST08,ASTON,G06,-73.11,45.58,17,2018-05-30,2018,0.7859335036967283,1105.0737569097607,0.9840809981831432,625.95,2263.44
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2013,0.7749739062177272,1056.3028803820298,0.9753669323367281,732.36,2217.88
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2014,0.7913300350618442,1012.110789811727,0.9652295886890976,741.95,2207.415
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2015,0.7736331108574491,1048.6321579239234,0.9750817421161054,736.73,2261.875
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2016,0.828572015373126,1060.1476503212907,0.9622572230231461,706.96,2222.18
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2017,0.785935384433982,1068.2620493464601,0.9818314286797791,732.58,2227.0
17AST09,ASTON,G06,-73.08,45.52,17,2018-05-30,2018,0.7867651776510722,1100.9755402042183,0.9829787687977379,616.88,2271.675
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2013,0.782849885600774,1052.0362026951495,0.9750374919554292,722.88,2207.475
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2014,0.7995074435777125,1009.1259488409675,0.9650335652449267,736.38,2195.01
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2015,0.7840134827382675,1039.8945789248996,0.9760510779182658,726.11,2248.535
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2016,0.8249692508176129,1081.476498840563,0.9624417083516329,717.56,2208.975
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2017,0.8023915913125483,1025.2419790030167,0.9797989057541397,705.08,2204.05
17AST15,ASTON,G06,-73.02,45.59,17,2018-06-12,2018,0.7838080983710284,1110.2512251317492,0.9839076445013328,624.95,2249.905
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2013,0.7692691246586317,1056.1076836965979,0.9780767227551889,729.06,2202.52
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2014,0.7829932120563269,1009.150351644549,0.9633433742012782,750.51,2201.24
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2015,0.7709100019526893,1036.396663875021,0.9710817081826556,743.62,2264.12
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2016,0.8376141686028545,1044.713979242132,0.9630475472364786,689.07,2229.025
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2017,0.7812764437309004,1104.6313143744992,0.9808569729570491,758.01,2244.14
17AST22,ASTON,G06,-73.21,45.51,17,2018-06-12,2018,0.7814565275127272,1113.337427429836,0.9842874940808906,635.47,2283.16
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2013,0.7816491498848164,1118.2564072437183,0.9687912874204857,786.45,2186.53
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2014,0.7880926375947213,1026.488267425952,0.9737037852287039,734.41,2183.185
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2015,0.7748757866710215,1038.7384860191548,0.972301148539454,731.07,2264.865
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2016,0.8418292960731238,973.271465752771,0.9635969523511653,600.36,2291.39
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2017,0.7795678872239361,1145.0790619528223,0.978440807950733,764.55,2283.01
17BET02,BEAUDETTE,G04,-74.25,45.31,17,2018-06-01,2018,0.7787225588149406,1004.564709388697,0.9897676825348016,562.08,2298.8650000000002
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2013,0.7786760396836869,1138.46770973901,0.9675171113368941,812.61,2189.305
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2014,0.7852808193911368,1023.9208557572294,0.9738364472739311,733.13,2182.735
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2015,0.7866474078098844,988.8584704046726,0.97373634496733,688.57,2261.7599999999998
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2016,0.8384770772323474,963.0553605055409,0.9588173876521185,584.38,2270.3650000000002
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2017,0.7616407551881494,1186.987789674123,0.9755155325318652,836.13,2263.935
17BET03,BEAUDETTE,G04,-74.42,45.27,17,2018-06-01,2018,0.7864687818155767,992.9890058826986,0.9905423662380906,553.19,2290.405
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2013,0.7777780090558234,1022.1162137105704,0.9720646070914325,713.77,2162.125
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2014,0.8129506269614833,1016.4390223815992,0.9585249451930359,763.98,2152.155
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2015,0.8088709729815143,1037.8500825050305,0.9578769370322111,781.5600000000001,2235.85
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2016,0.8520245030206172,1118.9886670318733,0.9590810787687581,712.5,2233.675
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2017,0.7937879369643063,1184.8229842457079,0.9750826962766093,804.78,2251.75
17BET07,BEAUDETTE,G04,-73.36,45.84,17,2018-06-03,2018,0.7936420337463354,1060.0227980662876,0.9826125790859003,615.82,2268.795
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2013,0.7733086475424982,1016.0246972189016,0.9735021244240586,700.33,2064.715
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2014,0.8098391157407011,1133.5978749169174,0.9695583052514282,833.51,2055.495
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2015,0.7932893604339106,1047.238003337695,0.9620220868817131,786.2,2092.515
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2016,0.8338273267282355,1144.893395727626,0.9662689226808451,698.07,2140.025
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2017,0.79355166737738,1310.9998494898218,0.9744892289491138,882.91,2142.095
17BET11,BEAUDETTE,G04,-73.62,45.98,17,2018-06-03,2018,0.7989268667023204,1001.961641006816,0.9801532316036351,572.12,2142.335
